episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.22245229200052563,True,False
2,460.0,702,1087,0.2,0.025979083692866632,1.552621208000346,True,False
3,430.0,506,1593,0.2,0.02794830399055738,3.9490343750076136,True,False
4,680.0,920,2513,0.2,0.026409307358983863,8.348304541999823,True,False
5,470.0,483,2996,0.2,0.024370812209157565,10.70842175000871,True,False
6,550.0,464,3460,0.2,0.028140578480439406,12.920665249999729,True,False
7,510.0,614,4074,0.2,0.03322126369792481,15.75450558301236,True,False
8,710.0,713,4787,0.2,0.036131166873939254,19.43212300000596,True,False
9,640.0,633,5420,0.2,0.03579990391593145,22.263845500012394,True,False
10,890.0,810,6230,0.2,0.03399888998805776,26.00279945800139,True,False
11,1480.0,909,7139,0.2,0.03822238504115311,30.499299458009773,True,False
12,540.0,719,7858,0.2,0.04034041892866501,33.37229495801148,True,False
13,1230.0,814,8672,0.2,0.04103933856423086,37.082323500013445,True,False
14,310.0,404,9076,0.2,0.03783368212655002,39.0821882920136,True,False
15,1070.0,820,9896,0.2,0.03639963011529933,42.7810180420056,True,False
16,1480.0,971,10867,0.2,0.04191780268178083,47.02529720800521,True,False
17,790.0,788,11655,0.2,0.04597041800117054,50.67551483301213,True,False
18,760.0,676,12331,0.2,0.0431971628378702,54.301166417004424,True,False
19,1310.0,747,13078,0.2,0.0432251868271493,57.99039708300552,True,False
20,830.0,793,13871,0.2,0.04463107886399622,61.51111745800881,True,False
21,330.0,411,14282,0.2,0.04614237416987714,63.340394292012206,True,False
22,280.0,347,14629,0.2,0.047477920957166575,64.96477270800096,True,False
23,2080.0,653,15282,0.2,0.04837267511764233,67.86559991700051,True,False
24,1290.0,644,15926,0.2,0.045558335013710746,70.76312016700103,True,False
25,310.0,334,16260,0.2,0.04945635519799821,72.22430200000235,True,False
26,670.0,591,16851,0.2,0.04721978465316906,76.63141075000749,True,False
27,570.0,594,17445,0.2,0.050493252298000876,79.74914629200066,True,False
28,690.0,560,18005,0.2,0.057386482061286055,82.43487991701113,True,False
29,230.0,328,18333,0.2,0.04999657177434462,83.76313700000173,True,False
30,380.0,485,18818,0.2,0.053910341036836965,85.9900767920044,True,False
31,350.0,386,19204,0.2,0.05200138513824528,87.67466620801133,True,False
32,1260.0,933,20137,0.2,0.05663230068294148,91.71244916701107,True,False
33,910.0,888,21025,0.2,0.057119117277833795,95.83471266701235,True,False
34,440.0,469,21494,0.2,0.06075352225771062,98.36406025000906,True,False
35,1240.0,740,22234,0.2,0.05312456659267883,102.29587312501098,True,False
36,740.0,689,22923,0.2,0.05584676450843988,105.38682558300206,True,False
37,400.0,494,23417,0.2,0.05192165735418037,107.54292125000211,True,False
38,1170.0,918,24335,0.2,0.05541153107952798,111.82199662500352,True,False
39,970.0,694,25029,0.2,0.0567383764408015,114.94580941701133,True,False
40,1640.0,907,25936,0.2,0.05345780985011403,118.9914150830009,True,False
41,410.0,468,26404,0.2,0.0580560071951049,121.07902633301273,True,False
42,510.0,538,26942,0.2,0.06199372039913242,123.27660170801391,True,False
43,360.0,388,27330,0.2,0.06881373080895427,125.09158829200896,True,False
44,520.0,540,27870,0.2,0.06586975866790723,127.5864952920092,True,False
45,2040.0,1103,28973,0.2,0.060835485168617975,132.74467275000643,True,False
46,580.0,600,29573,0.2,0.05955536415179571,135.48562091701024,True,False
47,550.0,493,30066,0.2,0.06146721462757001,137.871404000005,True,False
48,260.0,351,30417,0.2,0.06912175859112969,139.59622666701034,True,False
49,320.0,498,30915,0.2,0.06989831333949921,142.00027612500708,True,False
50,470.0,517,31432,0.2,0.06313482148286242,144.6186639580119,True,False
51,1000.0,535,31967,0.2,0.07079511001720128,148.11182466700848,True,False
52,530.0,608,32575,0.2,0.06829531529097278,150.8773475830094,True,False
53,550.0,538,33113,0.2,0.06925777094783607,153.2256447079999,True,False
54,880.0,799,33912,0.2,0.0710126437433064,156.8776003330131,True,False
55,730.0,826,34738,0.2,0.07382995829673357,160.4003886670107,True,False
56,440.0,526,35264,0.2,0.0670446268614438,162.51055429200642,True,False
57,370.0,469,35733,0.2,0.06553643532734141,164.5060532080097,True,False
58,550.0,519,36252,0.2,0.06792049534045733,167.5022413750121,True,False
59,520.0,702,36954,0.2,0.06597252177872828,172.42568270800984,True,False
60,350.0,361,37315,0.2,0.06711740565693212,174.81944916700013,True,False
61,460.0,501,37816,0.2,0.0774352712822812,178.01788545800082,True,False
62,440.0,400,38216,0.2,0.0746737973112613,180.72801741700096,True,False
63,360.0,470,38686,0.2,0.06898035775296964,183.75510162500723,True,False
64,550.0,847,39533,0.2,0.07212350994374885,189.3533989580028,True,False
65,330.0,351,39884,0.2,0.0668285589940338,191.79487108300964,True,False
66,1130.0,1060,40944,0.2,0.07669059741750078,199.14297658301075,True,False
67,1670.0,666,41610,0.2,0.06815201785774475,203.11165312500088,True,False
68,1360.0,690,42300,0.2,0.0809120053393131,207.70358966701315,True,False
69,340.0,391,42691,0.2,0.06952004018479709,210.62642020800558,True,False
70,330.0,449,43140,0.2,0.0811356428961179,212.88346929200634,True,False
